candidate_id,confidence,recommended_action,name,name_en,aliases,brand_name,brewery,beer_style,abv,ibu,country,origin_region,image_url,description,tasting_note,status,source,source_drink_count,source_tenant_count,public_visible_count,enabled_count,source_drink_ids,source_tenant_ids,source_names,source_brand_names,source_breweries,review_note
candidate_0159,exact_brand_name_match,create_product_then_link_source_drinks,喵醺,,,Alus,Alus,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/a21803a7-2d2b-47ee-8bf0-e794e10744e3/no-menu-beer-artwork__26_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,3,2,0,1,493f723f-4886-47cb-ad52-9bf7348163b5|a21803a7-2d2b-47ee-8bf0-e794e10744e3|2bebe397-2f85-48a5-8799-5250ff20b541,81a90487-39c9-46bb-b221-68ff631275d6|c3af90db-9734-4750-927c-38f6b37fb3e0,喵醺,Alus,Alus,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0173,exact_brand_name_match,create_product_then_link_source_drinks,南方,,,Alus,Alus,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/ece461ac-2c0b-4c6d-bd91-0cac5bb7d8a4/no-menu-beer-artwork__1_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,3,2,0,3,ece461ac-2c0b-4c6d-bd91-0cac5bb7d8a4|e7dde07b-11d6-4310-86fb-91d8ad0eac28|7771ff07-fcdc-427c-a354-335051e917ca,81a90487-39c9-46bb-b221-68ff631275d6|7aa1147c-5c8b-4c68-bc11-56ce34608689,南方,Alus,Alus,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0355,exact_brand_name_match,create_product_then_link_source_drinks,阿罗哈POG西打,,,佳卡哈,佳卡哈,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/494bcf1f-8346-480f-a396-204b104c9313/drinks/b73ea8ab-168d-4857-b2ca-0c88c65d27ba/no-menu-beer-artwork__5_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,558647b4-cdd4-43e1-b137-6de18c2019f8|b73ea8ab-168d-4857-b2ca-0c88c65d27ba,7aa1147c-5c8b-4c68-bc11-56ce34608689|494bcf1f-8346-480f-a396-204b104c9313,阿罗哈POG西打,佳卡哈,佳卡哈,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0464,exact_brand_name_match,create_product_then_link_source_drinks,白拉格2026,,,Fever,Fever,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/7cce9b27-acd5-4bdc-a302-153c8245a1c1/drinks/a734c1a9-99c4-4060-a901-b410cd9cdccf/no-menu-beer-artwork__24_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,a734c1a9-99c4-4060-a901-b410cd9cdccf|b43a966c-5c24-4602-8073-d6cee91bec59,7cce9b27-acd5-4bdc-a302-153c8245a1c1|283206e3-22d9-4a54-b8a5-70694b1ec062,白拉格2026,Fever,Fever,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0431,exact_brand_name_match,create_product_then_link_source_drinks,白日梦,,,辉光,辉光,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/c3af90db-9734-4750-927c-38f6b37fb3e0/drinks/545fd669-0d8c-4aac-b24c-6a3cde97ff52/______.png,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,545fd669-0d8c-4aac-b24c-6a3cde97ff52|720a7dcc-769f-43d3-b427-7b18dc9401c8,c3af90db-9734-4750-927c-38f6b37fb3e0|283206e3-22d9-4a54-b8a5-70694b1ec062,白日梦,辉光,辉光,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0234,exact_brand_name_match,create_product_then_link_source_drinks,白天使,,,玄水屋,玄水屋,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/283206e3-22d9-4a54-b8a5-70694b1ec062/drinks/78f27fb8-ffcc-4ced-8f13-c98cd3cb3034/no-menu-beer-artwork_-_2026-06-07T193736.739.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,2408feaa-3bca-4eb8-8036-90c30ee5b25b|78f27fb8-ffcc-4ced-8f13-c98cd3cb3034,d897a73b-37fb-4c57-af0f-79d8759173cb|283206e3-22d9-4a54-b8a5-70694b1ec062,白天使,玄水屋,玄水屋,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0179,exact_brand_name_match,create_product_then_link_source_drinks,北地显影,,,蔓延,蔓延,,,,,,,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,4d1da7d9-8b21-4706-b535-355b9ff70102|60161074-2410-42f8-b5a4-8a3c65593fab,4d1da7d9-8b21-4706-b535-355b9ff79388|57d005da-1193-4bd2-955a-ef6b9653516d,北地显影,蔓延,蔓延,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0503,exact_brand_name_match,create_product_then_link_source_drinks,潮汐热吻,,,以及,以及,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/d367fdfd-b335-4c60-8700-3dbdf27cc269/no-menu-beer-artwork__60_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,1,0,2,c991c37a-8b4b-4ec5-a146-b0e32c9fe0f2|d367fdfd-b335-4c60-8700-3dbdf27cc269,81a90487-39c9-46bb-b221-68ff631275d6,潮汐热吻,以及,以及,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0191,exact_brand_name_match,create_product_then_link_source_drinks,副本,,,浦江半岛,浦江半岛,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/4d1da7d9-8b21-4706-b535-355b9ff79388/drinks/4d1da7d9-8b21-4706-b535-355b9ff70105/no-menu-beer-artwork__17_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,4d1da7d9-8b21-4706-b535-355b9ff70105|41a7c973-03e8-423a-9829-16ccc1ddb9d1,4d1da7d9-8b21-4706-b535-355b9ff79388|13b6f277-ab0d-4c19-ba8a-d97a5af9f51d,副本,浦江半岛,浦江半岛,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0162,exact_brand_name_match,create_product_then_link_source_drinks,谷仓铜,,,Fever,Fever,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/2c191730-69f6-4031-8256-91aa59e5bc52/drinks/6fc0f737-7b31-416f-b5aa-f197d20a416e/no-menu-beer-artwork__70_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,1,04045c1e-642a-467f-be0c-3cf1031f1b70|6fc0f737-7b31-416f-b5aa-f197d20a416e,81a90487-39c9-46bb-b221-68ff631275d6|2c191730-69f6-4031-8256-91aa59e5bc52,谷仓铜,Fever|FEVER,Fever|FEVER,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0319,exact_brand_name_match,create_product_then_link_source_drinks,果味满满,,,回头客,回头客,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/283206e3-22d9-4a54-b8a5-70694b1ec062/drinks/d07741c4-3943-426c-af05-6908d7c4f63a/no-menu-beer-artwork__92_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,d07741c4-3943-426c-af05-6908d7c4f63a|7dce1b6f-0f72-4a76-804b-29b514410ee0,283206e3-22d9-4a54-b8a5-70694b1ec062|c3af90db-9734-4750-927c-38f6b37fb3e0,果味满满,回头客,回头客,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0353,exact_brand_name_match,create_product_then_link_source_drinks,寒鸦与钟声,,,彼岸酿造,彼岸酿造,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/494bcf1f-8346-480f-a396-204b104c9313/drinks/d06d6219-2e87-4fb3-adf6-a1247f953050/no-menu-beer-artwork__1_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,883c61a5-dac8-454b-b97a-e5296016faab|d06d6219-2e87-4fb3-adf6-a1247f953050,7aa1147c-5c8b-4c68-bc11-56ce34608689|494bcf1f-8346-480f-a396-204b104c9313,寒鸦与钟声,彼岸酿造,彼岸酿造,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0132,exact_brand_name_match,create_product_then_link_source_drinks,黄河之水,,,或不凡,或不凡,,,,,,,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,44a4429c-fb70-47a5-923b-370fce8f0108|b03bd279-f7e0-42f4-9692-b35ac88e408d,44a4429c-fb70-47a5-923b-370fce8f167e|81a90487-39c9-46bb-b221-68ff631275d6,黄河之水,或不凡,或不凡,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0358,exact_brand_name_match,create_product_then_link_source_drinks,今日与春风相会,,,云朴精酿,云朴精酿,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/494bcf1f-8346-480f-a396-204b104c9313/drinks/380ff1b2-db96-4791-a407-5d7b75bf0edf/no-menu-beer-artwork__3_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,8edee3c4-0a93-4a56-ac1e-c036738d24da|380ff1b2-db96-4791-a407-5d7b75bf0edf,7aa1147c-5c8b-4c68-bc11-56ce34608689|494bcf1f-8346-480f-a396-204b104c9313,今日与春风相会,云朴精酿,云朴精酿,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0333,exact_brand_name_match,create_product_then_link_source_drinks,金星的日落,,,Fever,Fever,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/1cff208a-4424-4867-966d-a7839ac59f6f/drinks/c4d0361b-be49-4d06-abd3-39bf809cfe89/no-menu-beer-artwork__98_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,c4d0361b-be49-4d06-abd3-39bf809cfe89|c00abd44-577a-4af3-903a-6b2751cf7eeb,1cff208a-4424-4867-966d-a7839ac59f6f|da21ab4e-93f7-49ca-8318-15fcbae24a93,金星的日落,Fever|FEVER,Fever|FEVER,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0356,exact_brand_name_match,create_product_then_link_source_drinks,南部之星,,,彼岸酿造,彼岸酿造,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/494bcf1f-8346-480f-a396-204b104c9313/drinks/a013ee16-127e-428e-8123-246fd8f2dc7b/no-menu-beer-artwork__6_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,6f6b7d63-7da0-4a77-a210-dc104843b43f|a013ee16-127e-428e-8123-246fd8f2dc7b,7aa1147c-5c8b-4c68-bc11-56ce34608689|494bcf1f-8346-480f-a396-204b104c9313,南部之星,彼岸酿造,彼岸酿造,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0461,exact_brand_name_match,create_product_then_link_source_drinks,轻硫醇皮尔森,,,疯熊,疯熊,,,,,,,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,d0813363-3501-46ab-9207-e2cef2ce63d2|01efc528-8874-4dcc-a4d2-1c5aba6774f6,7cce9b27-acd5-4bdc-a302-153c8245a1c1|283206e3-22d9-4a54-b8a5-70694b1ec062,轻硫醇皮尔森,疯熊,疯熊,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0168,exact_brand_name_match,create_product_then_link_source_drinks,全明,,,Fever,Fever,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/7aa1147c-5c8b-4c68-bc11-56ce34608689/drinks/4e8264e2-5521-4906-b387-478327c0f370/no-menu-beer-artwork_-_2026-06-08T022759.072.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,4d1da7d9-8b21-4706-b535-355b9ff70106|4e8264e2-5521-4906-b387-478327c0f370,4d1da7d9-8b21-4706-b535-355b9ff79388|7aa1147c-5c8b-4c68-bc11-56ce34608689,全明,Fever,Fever,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0282,exact_brand_name_match,create_product_then_link_source_drinks,全视之眼,,,生命长河,生命长河,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/5fcf9afb-e5ff-4da0-8bf1-c20f656f3e95/no-menu-beer-artwork__87_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,1,0,2,7ca8030b-20ba-41f6-8282-dbbe4ace1297|5fcf9afb-e5ff-4da0-8bf1-c20f656f3e95,81a90487-39c9-46bb-b221-68ff631275d6,全视之眼,生命长河,生命长河,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0154,exact_brand_name_match,create_product_then_link_source_drinks,山麓,,,会饮,会饮,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/4361773b-0e19-4a36-ad8f-45e6290da109/no-menu-beer-artwork__25_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,1,0,2,4361773b-0e19-4a36-ad8f-45e6290da109|83b96972-e52b-46d1-90a5-f44c326f73b8,81a90487-39c9-46bb-b221-68ff631275d6,山麓,会饮,会饮,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0147,exact_brand_name_match,create_product_then_link_source_drinks,突袭面包店,,,谷语者,谷语者,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/59704f0c-eb3a-4043-a45f-d86286454e29/no-menu-beer-artwork__24_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,1,0,2,441c3a33-bb7f-4a33-9752-0c27f07c9887|59704f0c-eb3a-4043-a45f-d86286454e29,81a90487-39c9-46bb-b221-68ff631275d6,突袭面包店,谷语者,谷语者,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0145,exact_brand_name_match,create_product_then_link_source_drinks,西普西普,,,卡布拉多,卡布拉多,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/b325cd7a-55c4-4c99-b8e9-365f48ea2275/no-menu-beer-artwork__27_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,1,0,2,942742ae-5a27-48e8-b20c-90e1f02ee7c1|b325cd7a-55c4-4c99-b8e9-365f48ea2275,81a90487-39c9-46bb-b221-68ff631275d6,西普西普,卡布拉多,卡布拉多,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0152,exact_brand_name_match,create_product_then_link_source_drinks,小花冠,,,虽吴,虽吴,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/7aa1147c-5c8b-4c68-bc11-56ce34608689/drinks/d8368ac1-8dd5-40b8-b4bf-61e915e55372/no-menu-beer-artwork_-_2026-06-08T022655.125.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,3d6cb427-a8c3-4583-a7c4-5a3ad9f5f505|d8368ac1-8dd5-40b8-b4bf-61e915e55372,3d6cb427-a8c3-4583-a7c4-5a3ad9f5f787|7aa1147c-5c8b-4c68-bc11-56ce34608689,小花冠,虽吴,虽吴,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
