source_name,normalized_key,canonical_zh,canonical_en,display_name,english_mapping_source,entity_type,suggested_country,suggested_country_code,country_confidence,raw_country_values,drink_count,public_visible_count,sample_drink_names,review_note
蔓延,manyan brewing,蔓延,MANYAN Brewing,蔓延 / MANYAN Brewing,manual_known_mapping,brewery_brand,China,CN,medium,武汉:8,20,8,拐点|北地显影|像蔓越莓|立方|博卡|短相思|长相思|大师的疯狂|乱语|中途乐园,
Fever,fever,,Fever,Fever,source_ascii,brewery_brand,China,CN,medium,西安:3,20,5,谷仓铜|全明|另一个吻·香草|Fever|搜魂者|折射|谷仓金|想象中的雨|金星的日落|星空领航员,
Alus,alus,,Alus,Alus,source_ascii,brewery_brand,China,CN,medium,深圳:6,17,6,喵醺|南方|泡泡浴|饼干|沙滩|喵熏|醉狗Vol.03,
艾尔复兴,ale renaissance,艾尔复兴,Ale Renaissance,艾尔复兴 / Ale Renaissance,manual_known_mapping,brewery_brand,United States,US,high,美国:8,14,8,一起漂浮|无序：汪汪惊喜|无序冰壶|单板滑雪|双板滑雪|瑞瓦卡酒花|米兰日落|干就完了|哈瓦那辣椒|机器罢工嘴巴别停,
邪恶双子,evil twin brewing,邪恶双子,Evil Twin Brewing,邪恶双子 / Evil Twin Brewing,manual_known_mapping,brewery_brand,United States,US,high,美国:11,13,11,此店需要更多更大的啤酒|秋日酸艾|蜜桃奶油|酸IPA万岁|更多老熊先生|更多更朦胧的窗户|更多愚蠢果汁梦|白葡桑格利亚|芒果拉达城市酸饮|地狱烟火,
明日酿造,mingri brewing,明日酿造,Mingri Brewing,明日酿造 / Mingri Brewing,manual_known_mapping,brewery_brand,China,CN,medium,上海:5,12,5,长相思|全村的希望 大米拉格|老板的最爱 双倍IPA|超级西楚 双倍浑浊IPA|明日繁华Lite DDH浑浊IPA|恐怖如斯 帝国IPA|风景这边独好|Come Back to 2016|多莉塔 冽光|太平洋四重奏,
退界,tuijie,退界,Tuijie,退界 / Tuijie,manual_known_mapping,brewery_brand,China,CN,medium,成都:4,11,4,下快攻|小夫|晓夫|爸爸 papa|狄俄尼索斯的眼泪|爸爸papà,
赤屿谷盗,chiyu gudao,赤屿谷盗,Chiyu Gudao,赤屿谷盗 / Chiyu Gudao,manual_known_mapping,brewery_brand,China,CN,medium,海南:3,10,6,一丛殊花|依帕|米贼|凌晨四点|盐而盗柠|长夏有风,
彼岸酿造,bian brewing,彼岸酿造,Bian Brewing,彼岸酿造 / Bian Brewing,manual_known_mapping,brewery_brand,,,low,乐山:1,9,1,望梅止渴|月光宝盒|寒鸦与钟声|南部之星|黑尔戈蓝岛日落|春日来信|夜曲,
勿幕,wumue brewery,勿幕,WUMUE Brewery,勿幕 / WUMUE Brewery,manual_known_mapping,brewery_brand,China,CN,medium,西安:3,9,5,暗椰|烟熏乌梅|冰川|战斧之力|盐洞·柑橘风暴眼|解构|山核桃覆盆子|丛林浓汁|小青瓜有机农甜米泥,
玄水屋,xuan shui wu,玄水屋,Xuan Shui Wu,玄水屋 / Xuan Shui Wu,manual_known_mapping,brewery_brand,China,CN,medium,西安:4,9,4,白天使|星际物质|黑武士|奖励关卡|卡里斯马,
哈德逊河谷,hudson valley brewery,哈德逊河谷,Hudson Valley Brewery,哈德逊河谷 / Hudson Valley Brewery,manual_known_mapping,brewery_brand,United States,US,high,美国:2,8,2,游隼|河谷2024|杂散光|河谷|动物气球|剪影桃|巴比伦|潜行故障,
TAPSTAR,tapstar,,TAPSTAR,TAPSTAR,source_ascii,brewery_brand,,,low,贵阳:1,8,3,有限社交|北极星|有限社交 美式淡色艾尔|北极星 浑浊IPA|老伙计 西海岸IPA|凉拖拖 青柠皮尔斯|鸵鸟的牙,
凯西,casey brewing & blending,凯西,Casey Brewing & Blending,凯西 / Casey Brewing & Blending,manual_known_mapping,brewery_brand,United States,US,high,美国:4,7,5,精明强干|幸运|焦点二号|原始灵魂示意|范尼拉瑰红1号,
洛莱,洛莱,洛莱,,洛莱,needs_manual_en,brewery_brand,United States,US,high,美国:2,7,2,鬣狗|美洲豹|阿尔克斯|解药|阿尔科莱|卢比孔3|雄鹰,English name not found safely; fill from checked mapping or official source
山雀,mountain finch,山雀,Mountain Finch,山雀 / Mountain Finch,manual_known_mapping,brewery_brand,China,CN,medium,上海:4|上海嘉定:3,7,7,旋转木马|攀石|不误正夜|重逢|老炮|复仇之怒|祁门晨雾,
虽吾,suiwu,虽吾,Suiwu,虽吾 / Suiwu,manual_known_mapping,brewery_brand,China,CN,medium,苏州:2|扬州:2,7,4,小花冠|飞越云海|金狼之舞|日出茶山|果浪澳游,
疯熊,crazy bear,疯熊,Crazy Bear,疯熊 / Crazy Bear,manual_known_mapping,brewery_brand,China,CN,medium,广州:1,6,1,啤酒实习生2603|实习生2603|流动|梦|轻硫醇皮尔森,
狐朋酿造,hupeng brewing,狐朋酿造,Hupeng Brewing,狐朋酿造 / Hupeng Brewing,manual_known_mapping,brewery_brand,,,none,,6,0,鸡有鸡味|莓好前程|海边驿站|马上有桔|酒花英雄|后花园的混合黄皮,
辉光,glow brewing,辉光,Glow Brewing,辉光 / Glow Brewing,manual_known_mapping,brewery_brand,United States,US,high,美国:2,6,2,醉佳|白日梦|全场最佳|古龙水|白板,
回头客,returning guest,回头客,Returning Guest,回头客 / Returning Guest,manual_known_mapping,brewery_brand,United States,US,high,美国:2,6,2,果味满满19号|果味满满|卡南代瓜优质拉格|新英格兰99号|德式皮尔森,
撬啤酿造,qiao beer brewing,撬啤酿造,Qiao Beer Brewing,撬啤酿造 / Qiao Beer Brewing,manual_known_mapping,brewery_brand,,,none,,6,6,内个周五十一点半有个哥们进来就吐两个小时，吐了四次吐得很准非常感谢|水库浪子 桔柚π|卡拉斯科|Naive|水库浪子|风戏水,
僧侣,monk brewing,僧侣,Monk Brewing,僧侣 / Monk Brewing,manual_known_mapping,brewery_brand,United States,US,high,美国:2,6,3,Kid Casino|笔触|洛城之花|依旧交通粘性|背包|雾窗,
野鹅微醺,wild goose tipsy,野鹅微醺,Wild Goose Tipsy,野鹅微醺 / Wild Goose Tipsy,manual_known_mapping,brewery_brand,,,none,,6,0,富贵榴|朝花三倍干头浑浊IPA|陈皮的旅行|南境之花NZ-105|无限螺旋|南境之花,
本末·特伦,本末·特伦,本末·特伦,,本末·特伦,needs_manual_en,brewery_brand,United States,US,high,美国:2,5,2,劫尽|业劫|历史学会|本劫,English name not found safely; fill from checked mapping or official source
赤耳,赤耳,赤耳,,赤耳,needs_manual_en,brewery_brand,China,CN,medium,北京:1,5,2,黄米拉格|西瓜商店|阳光洒肩头|普通的一天|青芒果芭乐,English name not found safely; fill from checked mapping or official source
另一半,另一半,另一半,,另一半,needs_manual_en,brewery_brand,United States,US,high,美国:3,5,3,番茄工厂|另一半12周年|速溶绿色|旋涡3号|小小4周年,English name not found safely; fill from checked mapping or official source
矛盾体,矛盾体,矛盾体,,矛盾体,needs_manual_en,brewery_brand,United States,US,high,美国:1,5,1,亚特兰大出口|基数|法里纳|命令行编译|弧度,English name not found safely; fill from checked mapping or official source
欧米尼珀罗,omnipollo,欧米尼珀罗,Omnipollo,欧米尼珀罗 / Omnipollo,manual_known_mapping,brewery_brand,Sweden,SE,high,瑞典:2,5,2,史蒂夫之斧|3乘3七号|笑脸|不二之选,
虽吴,虽吴,虽吴,,虽吴,needs_manual_en,brewery_brand,China,CN,medium,苏州:1,5,1,小花冠|凤尾果香|金狼之舞,English name not found safely; fill from checked mapping or official source
野鹅,野鹅,野鹅,,野鹅,needs_manual_en,brewery_brand,,,low,石家庄:1,5,2,夜莺|无限螺旋|南境之花|桃林漫步,English name not found safely; fill from checked mapping or official source
远山,远山,远山,,远山,needs_manual_en,brewery_brand,,,none,,5,1,瓦哈卡日出|阿尔派恩淡影|阿尔卑斯|布里斯班淡影,English name not found safely; fill from checked mapping or official source
