name,row_count,tenant_count,brand_or_brewery_values,drink_ids,note
泡泡浴,5,4,Alus,bf585bd3-9a78-4c17-ad7e-327340cd6abd|cb23ecc2-dce3-4519-a6ad-83848d69b15a|8a4db5ad-ea3e-487e-8254-f098879b2343|c463fc75-47bd-44ed-a011-fb120867de0e|7198042c-626d-4fa5-ad6c-eb883a6165e5,Same name appears across multiple tenants. Review manually.
小花冠,5,5,虽吴|虽吾|虽吴酿造,3d6cb427-a8c3-4583-a7c4-5a3ad9f5f505|d8368ac1-8dd5-40b8-b4bf-61e915e55372|25ba7d64-f634-4fc1-8957-78c0df84dff5|02771aa7-ffd4-470a-805f-ce520696e2ff|b5be827e-be9a-4016-a1bf-4bc82e264bd6,Same drink name with different brand/brewery values. Do not auto-merge.
北地显影,3,3,蔓延|蔓延酿造,4d1da7d9-8b21-4706-b535-355b9ff70102|60161074-2410-42f8-b5a4-8a3c65593fab|6081a221-2ac9-49ef-adac-e4582c3b081c,Same drink name with different brand/brewery values. Do not auto-merge.
饼干,3,3,Alus,fabc796c-cd3e-4bdd-9e2a-d408081d5323|af551b53-d9e8-47c4-ac8f-9da701f9fbbb|541585e6-4440-479f-a306-ee145de58a17,Same name appears across multiple tenants. Review manually.
狄俄尼索斯的眼泪,3,3,退界,9c6dd799-7f8c-44ce-b912-95fb85e0f35d|d681ca8e-2f25-46fe-9e70-bc4bdd78f531|624eb27a-c715-4e04-bb2a-46b839cb7111,Same name appears across multiple tenants. Review manually.
黑武士,3,3,玄水屋,6735f156-12dd-48b6-9b99-ef372bf0a8e4|7dd63e93-6d77-406d-94f3-b878b3e265da|b9f80a82-f1e8-4c6f-8ff2-703c5dbdaa16,Same name appears across multiple tenants. Review manually.
金狼之舞,3,3,虽吴|虽吾,f157c23d-c2ee-4bcc-b6bf-20330d3af0da|7616db18-01b7-45fb-81ee-54275952855c|572775af-27fb-4422-9669-8c29631e007b,Same drink name with different brand/brewery values. Do not auto-merge.
酒花大盗,3,2,Deadman,e4fb40f2-af9b-423f-a95a-94c728a3cdb8|699e8493-a68c-4d21-b68f-1bd6ba2b5146|acea536b-e527-460f-a436-e74b73e9fd1c,Same name appears across multiple tenants. Review manually.
梦,3,3,疯熊工业|疯熊,23fe2e86-210b-4689-b8fc-5d4add727c93|f9bba99c-b740-4bc1-a1ca-4eed250ab178|2a8ce81b-08fd-4506-9947-44239d56b481,Same drink name with different brand/brewery values. Do not auto-merge.
喵醺,3,2,Alus,493f723f-4886-47cb-ad52-9bf7348163b5|a21803a7-2d2b-47ee-8bf0-e794e10744e3|2bebe397-2f85-48a5-8799-5250ff20b541,Same name appears across multiple tenants. Review manually.
